iter	Passed	Remaining
487	652	684
488	653	683
489	654	681
490	656	680
491	657	679
492	658	677
493	660	676
494	661	675
495	662	673
496	664	672
497	665	670
498	666	669
499	668	668
500	669	666
501	670	665
502	672	664
503	673	662
504	674	661
505	676	660
506	677	658
507	678	657
508	680	656
509	681	654
510	682	653
511	684	652
512	685	650
513	686	649
514	688	648
515	689	646
516	691	645
517	692	644
518	693	642
519	695	641
520	696	640
521	697	638
522	699	637
523	700	636
524	701	634
525	703	633
526	704	632
527	705	630
528	706	629
529	708	628
530	709	626
531	710	625
532	712	624
533	713	622
534	715	621
535	716	620
536	717	618
537	718	617
538	720	616
539	721	614
540	723	613
541	724	612
542	725	610
543	726	609
544	728	607
545	730	607
546	731	605
547	732	604
548	734	603
549	735	601
550	736	600
551	737	598
552	739	597
553	740	596
554	742	594
555	743	593
556	744	592
557	745	590
558	747	589
559	748	588
560	749	586
561	751	585
562	752	584
563	753	582
564	755	581
565	756	580
566	757	578
567	759	577
568	760	576
569	762	575
570	763	573
571	764	572
572	766	570
573	767	569
574	768	568
575	770	566
576	771	565
577	772	564
578	774	562
579	775	561
580	776	560
581	778	558
582	779	557
583	780	556
584	782	554
585	783	553
586	784	552
587	785	550
588	787	549
589	788	548
590	789	546
591	791	545
592	792	544
593	793	542
594	795	541
595	796	539
596	797	538
597	799	537
598	800	535
599	802	534
600	803	533
601	804	531
602	805	530
603	807	529
604	808	527
605	810	526
606	811	525
607	812	523
608	814	522
609	815	521
610	816	519
611	817	518
612	819	517
613	820	515
614	821	514
615	823	513
616	824	511
617	825	510
618	827	509
619	828	507
620	829	506
621	831	505
622	832	503
623	834	502
624	835	501
625	836	499
626	838	498
627	839	497
628	840	495
629	841	494
630	843	493
631	844	491
632	845	490
633	847	489
634	848	487
635	850	486
636	851	485
637	852	483
638	853	482
639	855	481
640	856	479
641	857	478
642	859	477
643	860	475
644	862	474
645	863	473
646	864	471
647	866	470
648	867	469
649	868	467
650	870	466
651	872	465
652	873	464
653	874	462
654	876	461
655	877	460
656	878	458
657	880	457
658	881	456
659	882	454
660	884	453
661	885	452
662	887	450
663	888	449
664	889	448
665	891	446
666	892	445
667	893	444
668	895	442
669	896	441
670	897	440
671	899	438
672	900	437
673	902	436
674	903	435
675	904	433
676	906	432
677	907	431
678	909	429
679	910	428
680	912	427
681	913	426
682	915	424
683	916	423
684	918	422
685	919	420
686	920	419
687	924	419
688	928	419
689	932	419
690	937	419
691	940	418
692	944	418
693	947	417
694	949	416
695	951	415
696	953	414
697	955	413
698	958	412
699	960	411
700	961	410
701	962	408
702	964	407
703	966	406
704	967	404
705	968	403
706	970	402
707	971	400
708	973	399
709	974	398
710	976	396
711	977	395
712	979	394
713	980	392
714	982	391
715	983	390
716	984	388
717	986	387
718	987	385
719	989	384
720	990	383
721	991	381
722	993	380
723	994	379
724	996	377
725	997	376
726	998	375
727	1000	373
728	1001	372
729	1002	370
730	1004	369
731	1005	368
732	1007	366
733	1009	365
734	1011	364
735	1012	363
736	1013	361
737	1015	360
738	1016	359
739	1017	357
740	1019	356
741	1020	354
742	1021	353
743	1023	352
744	1024	350
745	1026	349
746	1027	348
747	1029	346
748	1030	345
749	1031	343
750	1033	342
751	1034	341
752	1036	339
753	1037	338
754	1039	337
755	1040	335
756	1042	334
757	1044	333
758	1045	332
759	1047	330
760	1048	329
761	1049	327
762	1051	326
763	1052	325
764	1053	323
765	1055	322
766	1056	320
767	1058	319
768	1059	318
769	1061	316
770	1062	315
771	1063	314
772	1065	312
773	1066	311
774	1067	309
775	1068	308
776	1070	307
777	1071	305
778	1073	304
779	1074	303
780	1076	301
781	1078	300
782	1079	299
783	1081	297
784	1082	296
785	1083	295
786	1085	293
787	1086	292
788	1088	290
